leaf_node,median_N,avg_ret,std,capm_alpha,capm_beta,capm_R2,FF5_alpha
6,189.5,0.0074550449356335785,0.04969797166208266,-0.004953404944027416,0.9286870707647179,0.6919064636149161,-0.008997241089319218
9,296.5,0.013891777372196738,0.035446839125134764,0.004044047498506909,0.6192161695691509,0.6071551220145288,-0.0009258438252249504
11,176.0,0.016757958130358287,0.05692576058248226,0.0022677374881492577,1.1802754804565423,0.8500540615052057,0.0047415848300835055
14,85.0,0.00690061139659291,0.05723153594382561,-0.006574821184063088,1.0576352170934977,0.675284778316564,-0.009534353781619008
15,61.0,-0.0037631858287374273,0.05932568563454412,-0.01717437965710125,1.0498717659870973,0.6215871604832136,-0.0188817724877411
17,102.0,0.019531141387238736,0.04397546376562931,0.008076504689863987,0.8134158093983709,0.6803244430009173,0.002961144806578133
20,125.0,0.015043245176801256,0.05055998868310332,0.002731644244824716,0.9169825770872126,0.6520357780931876,-0.0012942667633575717
21,478.5,0.011790701009023703,0.042755345281209965,-0.000304082497524447,0.8907795233032128,0.8598276910895747,-0.004182286238074127
32,51.0,0.015703154890478733,0.040251691756408345,0.004785667340851643,0.7484996801682028,0.6838146276759374,0.00122685691645046
33,57.0,0.02203546559026914,0.044878746822193935,0.010639099401759208,0.8063736388957505,0.638620562465811,0.0067063653499299675
